id,rating,title,content,author,date,helpful_votes,verified_purchase
52,5,[고속 충전 보조배터리] 디자인이 너무 예뻐요.,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,김철수,2025-08-05,44,No
53,4,[저소음 블루투스 키보드] 추천해요!,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,최유진,2025-12-03,8,No
54,5,[고속 충전 보조배터리] 가성비 갑입니다.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,Mike R.,2025-09-11,14,No
55,3,[로봇 청소기 프로] 조금 아쉽습니다.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,김철수,2025-03-16,22,Yes
56,5,[로봇 청소기 프로] 추천해요!,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,Mike R.,2026-01-24,28,No
57,5,[초경량 무선 게이밍 마우스] 디자인이 너무 예뻐요.,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,Jessica T.,2025-02-24,23,Yes
58,2,[BaristaPro 에스프레소 메이커] 생각보다 별로네요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,이영희,2025-10-18,40,No
59,4,[스마트 홈 공기청정기] 추천해요!,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,한나래,2025-11-03,5,No
60,3,[전동 칫솔 블랙 에디션] 가격 대비 그냥 그래요.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,Mike R.,2026-02-22,14,Yes
61,3,[초경량 무선 게이밍 마우스] 소음이 좀 있습니다.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,김철수,2025-05-11,49,Yes
62,2,[미니 빔 프로젝터] 소음이 좀 있습니다.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,한나래,2025-04-08,42,No
63,2,[스마트 노이즈 캔슬링 헤드폰] 소음이 좀 있습니다.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,신지훈,2025-09-09,46,Yes
64,5,[로봇 청소기 프로] 정말 만족합니다!,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,강현우,2025-11-30,47,No
65,2,[전동 칫솔 블랙 에디션] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,강현우,2025-03-06,6,Yes
66,4,[로봇 청소기 프로] 가성비 갑입니다.,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,박지민,2025-05-04,17,Yes
67,5,[고속 충전 보조배터리] 추천해요!,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,강현우,2025-07-19,6,No
68,2,[고속 충전 보조배터리] 생각보다 별로네요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,강현우,2025-09-15,31,Yes
69,4,[스마트 노이즈 캔슬링 헤드폰] 추천해요!,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,정다운,2025-09-04,43,No
70,3,[전동 칫솔 블랙 에디션] 생각보다 별로네요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Sarah J.,2025-11-08,13,Yes
71,1,[로봇 청소기 프로] 생각보다 별로네요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,윤서연,2026-01-06,19,No
72,1,[초경량 무선 게이밍 마우스] 조금 아쉽습니다.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,윤서연,2025-08-04,25,Yes
73,5,[스마트 노이즈 캔슬링 헤드폰] 정말 만족합니다!,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,이영희,2025-09-09,0,No
74,3,[로봇 청소기 프로] 소음이 좀 있습니다.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,신지훈,2025-02-03,18,No
75,2,[미니 빔 프로젝터] 조금 아쉽습니다.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,정다운,2025-11-09,38,No
76,5,[고속 충전 보조배터리] 가성비 갑입니다.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,최유진,2025-10-30,17,No
77,4,[미니 빔 프로젝터] 디자인이 너무 예뻐요.,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,Sarah J.,2026-01-07,47,Yes
78,2,[초경량 무선 게이밍 마우스] 조금 아쉽습니다.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,신지훈,2025-04-08,20,No
79,2,[BaristaPro 에스프레소 메이커] 생각보다 별로네요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,최유진,2026-01-07,42,Yes
80,3,[로봇 청소기 프로] 배송이 너무 느려요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,조민수,2025-11-28,17,Yes
81,1,[4K 울트라 HD 모니터] 배송이 너무 느려요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Jessica T.,2025-03-04,47,No
82,3,[전동 칫솔 블랙 에디션] 생각보다 별로네요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,윤서연,2025-02-24,1,No
83,3,[고속 충전 보조배터리] 가격 대비 그냥 그래요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Sarah J.,2025-01-30,9,No
84,2,[전동 칫솔 블랙 에디션] 가격 대비 그냥 그래요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,Sarah J.,2025-01-30,23,Yes
85,1,[스마트 홈 공기청정기] 배송이 너무 느려요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,신지훈,2025-04-11,30,No
86,2,[고속 충전 보조배터리] 배송이 너무 느려요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,신지훈,2026-01-27,17,No
87,4,[미니 빔 프로젝터] 디자인이 너무 예뻐요.,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,김철수,2025-04-21,33,Yes
88,1,[저소음 블루투스 키보드] 가격 대비 그냥 그래요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,강현우,2025-02-08,44,Yes
89,1,[스마트 노이즈 캔슬링 헤드폰] 가격 대비 그냥 그래요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,신지훈,2025-06-28,39,Yes
90,4,[전동 칫솔 블랙 에디션] 디자인이 너무 예뻐요.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,Sarah J.,2025-03-10,3,Yes
91,1,[고속 충전 보조배터리] 소음이 좀 있습니다.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,신지훈,2025-05-16,21,No
92,2,[초경량 무선 게이밍 마우스] 생각보다 별로네요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,Mike R.,2026-01-15,4,Yes
93,3,[고속 충전 보조배터리] 가격 대비 그냥 그래요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,정다운,2025-01-27,9,Yes
94,4,[BaristaPro 에스프레소 메이커] 추천해요!,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,Mike R.,2025-04-19,28,Yes
95,1,[BaristaPro 에스프레소 메이커] 가격 대비 그냥 그래요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Mike R.,2025-06-11,6,Yes
96,5,[스마트 노이즈 캔슬링 헤드폰] 배송도 빠르고 제품도 좋네요.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,강현우,2025-03-16,24,No
97,1,[저소음 블루투스 키보드] 생각보다 별로네요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,김철수,2025-11-22,38,Yes
98,4,[저소음 블루투스 키보드] 가성비 갑입니다.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,조민수,2025-11-29,1,No
99,5,[초경량 무선 게이밍 마우스] 배송도 빠르고 제품도 좋네요.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,최유진,2025-03-24,3,No
100,5,[전동 칫솔 블랙 에디션] 디자인이 너무 예뻐요.,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,신지훈,2026-02-05,40,No
